Time,CO2,Temp,Light,Moist,Movement,Noise,Result
4,1383,23.72,31,26,0,60.08,1
4,1357,23.76,1,27,0,60.02,0
4,1355,23.74,31,27,0,60.05,1
4,1190,23.49,1,27,0,60.02,0
0,904,23.37,1,24,0,60.02,0
0,897,23.39,1,24,0,60.02,0
1,533,23.17,26,22,1,63.95,1
1,404,23.03,33,21,1,62.7,2
1,406,23.03,34,20,0,60.08,2
1,431,23.54,1,16,1,66.91,1
1,460,23.62,1,16,0,60.17,0
1,498,23.73,1,17,0,60.3,0
1,483,23.69,30,18,1,72.23,4
1,492,23.74,30,18,1,67.32,4
1,494,23.74,29,18,1,70.72,4
1,499,23.77,30,19,1,67.26,4
1,499,23.77,29,18,1,71.3,4
1,498,23.77,28,18,1,73.91,4
1,497,23.77,29,18,1,65.33,4
1,497,23.79,28,18,1,69.6,4
1,497,23.8,29,18,1,62.65,4
1,498,23.8,29,18,1,69.93,4
1,498,23.8,1,18,0,60.29,0
1,499,23.79,1,18,0,60.19,0
1,499,23.77,1,17,0,60.19,0
1,499,23.77,1,17,0,60.05,0
1,498,23.73,1,17,0,60.3,0
1,495,23.72,1,17,0,60.62,0
1,425,23.56,57,17,1,60.26,2
1,425,23.59,62,17,1,60.79,2
1,430,23.6,63,17,1,60.6,2
1,435,23.62,66,17,1,62.28,2
1,437,23.63,66,17,1,64.45,3
1,441,23.63,66,17,1,64.52,3
2,437,23,34,19,0,60.45,2
2,437,22.99,35,19,0,60.46,2
2,436,23.02,36,19,0,62.51,2
2,437,23.02,36,19,0,60.67,2
2,436,23.02,36,19,0,60.96,2
2,437,23.02,36,19,0,60.11,2
3,797,23.56,30,22,1,62.62,3
3,800,23.57,32,22,1,61.14,2
3,804,23.57,32,22,1,63.63,3
3,808,23.57,32,22,0,60.36,3
3,1202,23.82,30,25,1,65.77,3
3,1207,23.83,30,25,1,62.69,3
3,1225,23.84,30,25,1,61.5,2
3,1243,23.84,30,25,1,63.79,3
4,1355,23.74,31,27,0,60.05,1
4,1355,23.74,31,27,0,60.07,1
4,1355,23.74,31,27,0,60.02,1
4,1354,23.74,31,27,0,60.04,1
4,1354,23.74,31,27,0,62.69,1
4,1355,23.74,31,27,1,60.2,1
4,1357,23.74,1,27,1,63.32,1
4,1357,23.74,1,27,0,60.02,0
4,1357,23.74,1,27,0,60.1,0
4,1357,23.76,1,27,0,60.02,0
1,412,23.03,4,17,0,60.02,0
1,412,23.02,4,17,0,60.38,0
1,412,23.03,26,17,1,60.52,1
1,413,23.02,30,17,0,60.08,1
1,414,23.03,32,17,0,60.02,1
1,421,23.1,35,16,1,60.71,2
1,422,23.12,35,17,1,61.2,2
1,422,23.13,36,17,1,61.42,1
1,433,23.7,33,20,1,65.18,4
1,433,23.67,34,19,1,68.29,4
1,431,23.67,36,19,1,63.8,4
1,430,23.63,36,18,0,60.73,4
1,431,23.63,36,18,1,60.99,4
1,430,23.62,36,19,0,62.29,4
1,430,23.62,36,19,0,60.26,4
1,430,23.62,36,18,0,60.05,4
1,430,23.6,36,19,0,60.26,4
1,430,23.59,37,19,0,60.35,4
1,430,23.59,37,18,0,60.61,4
1,430,23.59,36,19,1,61.78,4
1,429,23.57,36,19,1,63.67,4
1,429,23.57,37,19,1,63.72,4
1,429,23.57,37,18,1,62.02,4
1,429,23.59,37,18,0,61.68,4
1,429,23.59,37,18,0,62.31,4
1,430,23.59,37,18,0,62.62,4
1,430,23.59,36,19,1,63.41,4
1,432,23.57,37,18,0,61.4,4
1,434,23.59,37,18,1,61.4,4
1,436,23.59,37,18,0,60.73,4
1,439,23.59,37,19,1,62.76,4
1,439,23.6,35,19,1,65.12,4
1,442,23.62,35,18,1,62.12,4
1,446,23.62,29,18,1,63.03,4
1,451,23.62,28,18,1,61.15,4
1,455,23.62,29,18,1,61.72,4
1,459,23.62,30,18,1,70.97,4
1,464,23.64,29,19,1,68.93,4
1,470,23.66,30,18,1,67.82,4
1,479,23.67,29,18,1,72.65,4
1,483,23.69,30,18,1,72.23,4
1,481,23.7,31,18,1,67.79,4
1,485,23.72,30,18,1,70.64,4
1,489,23.73,29,18,1,72.27,4
1,492,23.74,30,18,1,67.32,4
1,494,23.74,29,18,1,70.72,4
1,499,23.77,30,19,1,67.26,4
1,499,23.77,29,18,1,71.3,4
1,498,23.77,28,18,1,73.91,4
1,497,23.77,29,18,1,65.33,4
1,497,23.79,28,18,1,69.6,4
1,497,23.8,29,18,1,62.65,4
1,498,23.8,29,18,1,69.93,4
1,498,23.79,29,18,1,72.07,4
1,496,23.8,29,18,1,68.01,4
1,497,23.82,28,18,1,74.97,4
1,497,23.8,29,18,1,66.59,4
1,497,23.83,28,18,1,74.56,4
1,498,23.82,29,18,1,67.7,4
1,498,23.82,29,18,1,70.69,4
1,498,23.82,28,18,1,71.9,4
1,498,23.8,29,18,1,72.04,4
1,498,23.82,29,18,1,67.76,4
1,497,23.82,29,18,1,70.48,4
1,496,23.82,28,18,1,70.91,4
1,496,23.83,28,19,1,64.61,4
1,495,23.8,1,18,0,60.45,0
1,498,23.8,1,18,0,60.29,0
1,499,23.79,1,18,0,60.19,0
1,499,23.77,1,17,0,60.19,0
1,499,23.77,1,17,0,60.05,0
1,498,23.73,1,17,0,60.3,0
1,495,23.72,1,17,0,60.62,0
1,493,23.7,1,17,0,60.07,0
1,491,23.69,1,17,0,60.04,0
1,487,23.66,1,17,0,60.08,0
1,479,23.64,1,16,0,60.05,0
1,472,23.64,1,16,0,60.13,0
1,0,23.62,1,16,0,60.67,0
1,460,23.62,1,16,0,60.17,0
1,457,23.6,1,16,0,60.86,0
1,445,23.59,1,17,0,61.36,0
1,436,23.57,1,16,0,60.48,0
1,433,23.56,1,16,0,60.24,0
1,431,23.54,1,16,1,66.91,0
1,428,23.54,45,16,1,63.75,3
1,425,23.56,52,16,1,61.77,3
1,425,23.56,57,17,1,60.26,3
1,425,23.59,62,17,1,60.79,3
1,430,23.6,63,17,1,60.6,3
1,435,23.62,66,17,1,62.28,3
1,437,23.63,66,17,1,64.45,3
1,441,23.63,66,17,1,64.52,3
1,443,23.64,66,17,0,63.16,3
1,449,23.64,66,16,1,62.75,3
1,453,23.64,66,17,0,66.81,3
1,452,23.66,66,17,1,67.96,3
1,454,23.67,66,17,1,63.98,3
1,455,23.69,66,17,0,66.22,3
1,458,23.69,66,17,0,65.43,3
1,461,23.69,66,17,0,64.84,3
1,463,23.7,66,17,1,62.7,3
1,467,23.7,65,17,0,64.65,3
1,470,23.72,66,16,0,66.38,3
1,477,23.7,65,17,1,65.62,3
1,480,23.7,63,17,1,64.2,3
1,482,23.7,65,17,1,64.57,3
1,485,23.72,65,17,1,69.15,3
1,490,23.72,63,17,1,67.16,3
1,493,23.74,66,17,1,63.64,3
1,496,23.76,67,17,1,63.38,3
1,496,23.79,66,17,1,64.99,3
1,499,23.82,67,17,1,67.35,3
1,504,23.83,67,17,1,61.34,3
1,506,23.82,67,17,1,61.56,3
1,506,23.83,66,17,1,63.39,3
1,507,23.83,66,17,1,63.28,3
1,506,23.83,67,17,1,61.77,3
1,506,23.83,67,17,1,61.3,3
1,505,23.82,67,17,0,61.18,3
1,503,23.82,67,17,0,61.96,3
1,502,23.82,67,17,1,60.39,3
1,502,23.82,67,17,0,60.87,3
1,500,23.8,67,17,0,60.38,3
1,500,23.8,67,17,1,60.87,3
1,499,23.8,67,17,0,61.25,3
1,498,23.82,67,17,0,60.84,3
